miRNA,mRNA,coeff 2,coeff 7,VIP 2,Vip 7
hsa_miR_200c_4395411,_58994_at,-0.2181342584,-0.2242984682,1.29102,1.16483
hsa_miR_205_4373093,_58994_at,-0.2495280134,-0.2653992886,1.42308,1.31629
hsa_miR_363_4378090,_58994_at,-0.2718804691,-0.3376853008,1.55543,1.74498
hsa_miR_363_4378090,_58308_at,-0.2915879953,-0.2836127068,2.08421,2.10444
hsa_miR_205_4373093,_55081_at,-0.2560561584,-0.2280402072,1.46321,1.41318
hsa_miR_335_4373045,_55081_at,0.2365494042,0.2717637279,1.47615,1.72966
hsa_miR_363_4378090,_55081_at,-0.2301197379,-0.2158870126,1.27459,1.28324
hsa_miR_335_4373045,_54632_at,0.2171160435,0.2067496312,1.67918,1.66046
hsa_miR_363_4378090,_52169_at,0.261219512,0.4177441751,1.9555,2.95029
hsa_miR_758_4395180,_52169_at,-0.2227792263,-0.2041890063,1.86304,1.65114
hsa_miR_363_4378090,_50374_at,0.2070724539,0.3969450139,1.45717,2.17734
hsa_miR_758_4395180,_50374_at,-0.2157250601,-0.2363126912,1.71692,1.70246
hsa_miR_139_5p_4395400,_49485_at,-0.2548441931,-0.3019950639,1.67924,1.68007
hsa_miR_363_4378090,_49485_at,0.3261806558,0.3734430579,1.78445,1.74155
hsa_miR_758_4395180,_49485_at,-0.2632555521,-0.2910556372,1.34533,1.30284
hsa_miR_205_4373093,_44146_at,-0.2456312409,-0.2023774388,1.44099,1.33256
hsa_miR_410_4378093,_39835_at,0.2022069987,0.2321155675,1.50934,1.63147
hsa_miR_363_4378090,_38269_at,-0.3499765377,-0.346564992,2.11828,2.10523
hsa_miR_363_4378090,_37996_s_at,-0.2738771121,-0.2542861259,1.84591,1.79701
hsa_miR_363_4378090,_36994_at,-0.3479596752,-0.3659026889,1.89555,1.90824
hsa_miR_410_4378093,_36994_at,0.2056275779,0.240542174,1.11648,1.32974
hsa_miR_873_4395467,_36994_at,0.2066689587,0.2069620188,1.34231,1.30867
hsa_miR_205_4373093,_36711_at,-0.2427538572,-0.2445060138,1.52481,1.51293
hsa_miR_335_4373045,_36711_at,0.2203378915,0.2656863051,1.52294,1.74805
hsa_miR_125a_5p_4395309,_35156_at,-0.2579858125,-0.3390675747,1.76774,1.59617
hsa_miR_758_4395180,_35156_at,-0.233253626,-0.2736286879,1.38292,0.97826
hsa_miR_200c_4395411,_320_at,0.2732337358,0.2120464967,1.38263,1.33144
hsa_miR_363_4378090,_320_at,0.4834162476,0.4490832563,1.45744,1.51555
hsa_miR_518b_4373246,_320_at,-0.2688595527,-0.2137470561,1.01363,0.95386
hsa_miR_636_4395199,_320_at,-0.3499006616,-0.3255447595,1.09511,1.06687
hsa_miR_873_4395467,_320_at,-0.2568393942,-0.2095538739,0.87375,0.80355
hsa_miR_363_4378090,_31846_at,-0.3408569605,-0.3453351416,1.91433,1.9712
hsa_miR_205_4373093,_222240_s_at,-0.2467003245,-0.2470414959,1.43434,1.47124
hsa_miR_335_4373045,_222240_s_at,0.2292595322,0.2400602539,1.44899,1.51485
hsa_miR_363_4378090,_222240_s_at,-0.2408954528,-0.2210366034,1.3296,1.26707
hsa_miR_758_4395180,_222221_x_at,0.2015356514,0.2405324949,1.45476,1.59093
hsa_miR_125a_5p_4395309,_222216_s_at,0.2298841236,0.2906892774,0.99115,1.39533
hsa_miR_139_5p_4395400,_222216_s_at,0.3186348652,0.2228960434,1.29664,1.0865
hsa_miR_616_4395525,_222216_s_at,-0.2842699347,-0.2398934188,1.28262,1.23548
hsa_miR_758_4395180,_222216_s_at,0.2058328395,0.2930843669,0.86534,1.35794
hsa_miR_873_4395467,_222216_s_at,0.2705207648,0.2542530865,1.10947,1.18691
hsa_miR_139_5p_4395400,_222212_s_at,-0.2109893699,-0.2330811768,1.36375,1.40631
hsa_miR_363_4378090,_222212_s_at,0.4973953813,0.510197976,2.45835,2.40156
hsa_miR_873_4395467,_222193_at,-0.3005805271,-0.2267987297,1.72457,1.39787
hsa_miR_197_4373102,_222192_s_at,0.2258615101,0.2089076923,0.95093,0.87782
hsa_miR_200c_4395411,_222192_s_at,0.2654619079,0.2393410847,1.07338,0.9531
hsa_miR_363_4378090,_222192_s_at,0.2645116593,0.3013681023,1.22305,1.30879
hsa_miR_518b_4373246,_222192_s_at,-0.236267638,-0.2148064144,1.56722,1.4165
hsa_miR_873_4395467,_222192_s_at,-0.3481779214,-0.3393210346,1.81259,1.66148
hsa_miR_636_4395199,_222021_x_at,0.2449813122,0.2591496333,1.58187,1.70766
hsa_miR_758_4395180,_221922_at,0.2165322727,0.2488947173,1.60833,1.75917
hsa_miR_200c_4395411,_221909_at,0.2371984892,0.2779253381,1.23014,0.93658
hsa_miR_363_4378090,_221909_at,0.2703021562,0.4748722608,1.48573,1.70605
hsa_miR_758_4395180,_221909_at,-0.2326704434,-0.2476401028,1.15738,0.82515
hsa_miR_758_4395180,_221842_s_at,0.2139264309,0.2284757579,1.65745,1.73707
hsa_miR_363_4378090,_221840_at,0.3346369122,0.3090967029,2.23757,2.20949
hsa_miR_335_4373045,_221819_at,0.2287541134,0.2042262974,1.58913,0.98168
hsa_miR_200c_4395411,_221797_at,0.2044891576,0.2294786989,1.18085,0.98435
hsa_miR_205_4373093,_221797_at,0.2057756721,0.2468081285,1.16734,0.9713
hsa_miR_363_4378090,_221797_at,0.2855118811,0.5282711052,1.627,1.78387
hsa_miR_205_4373093,_221779_at,-0.2935738016,-0.2664295988,1.46182,1.37477
hsa_miR_335_4373045,_221779_at,0.2408066644,0.3091398025,1.42836,1.7787
hsa_miR_363_4378090,_221779_at,-0.3099699753,-0.3064705525,1.57688,1.61871
hsa_miR_139_5p_4395400,_221771_s_at,-0.2175847992,-0.2482210351,1.87177,1.79097
hsa_miR_363_4378090,_221771_s_at,0.3349379288,0.3619990782,2.56516,2.38054
hsa_miR_125a_5p_4395309,_221760_at,0.2049778844,0.2226196512,1.58292,1.68338
hsa_miR_200c_4395411,_221711_s_at,-0.2313941713,-0.2149082064,1.39138,1.18517
hsa_miR_205_4373093,_221711_s_at,-0.2347320889,-0.2274226831,1.40064,1.22729
hsa_miR_873_4395467,_221711_s_at,0.22294101,0.2464698356,1.53499,1.54948
hsa_miR_125a_5p_4395309,_221702_s_at,-0.253419379,-0.2763813576,1.91254,1.54891
hsa_miR_636_4395199,_221702_s_at,-0.2385253202,-0.2933848883,1.60754,1.55442
hsa_miR_758_4395180,_221702_s_at,-0.262936807,-0.314954507,1.82827,1.52779
hsa_miR_873_4395467,_221688_s_at,0.2229541422,0.2265618412,1.50699,1.51854
hsa_miR_636_4395199,_221641_s_at,0.2075853182,0.2019412432,1.57334,1.55274
hsa_miR_363_4378090,_221559_s_at,0.2911749727,0.2848613412,1.96814,2.01889
hsa_miR_363_4378090,_221543_s_at,0.4060401119,0.4394377361,2.33861,2.41513
hsa_miR_363_4378090,_221539_at,-0.2601687223,-0.216236931,1.62176,1.41975
hsa_miR_363_4378090,_221536_s_at,0.2033512987,0.2294252022,1.45858,1.66371
hsa_miR_125a_5p_4395309,_221476_s_at,-0.2265245054,-0.2673618513,1.82713,1.89004
hsa_miR_758_4395180,_221269_s_at,0.2086449135,0.2296597954,1.52387,1.63248
hsa_miR_758_4395180,_221265_s_at,-0.2273654045,-0.220902883,1.87986,1.87126
hsa_miR_205_4373093,_221215_s_at,-0.2368118703,-0.2401662677,1.56156,1.54229
hsa_miR_363_4378090,_221081_s_at,-0.2847510316,-0.2933383275,1.66274,1.74031
hsa_miR_363_4378090,_221047_s_at,-0.2822120887,-0.338416741,1.91787,2.28063
hsa_miR_758_4395180,_221047_s_at,0.2205502328,0.2120597003,1.52219,1.46366
hsa_miR_410_4378093,_221027_s_at,0.229693234,0.2683019371,1.63419,1.24974
hsa_miR_758_4395180,_221011_s_at,-0.200973131,-0.2045590287,1.85185,1.13148
hsa_miR_205_4373093,_220948_s_at,-0.2137239328,-0.2319071079,1.38876,1.28544
hsa_miR_363_4378090,_220948_s_at,-0.2905737075,-0.3757522205,1.74852,2.00865
hsa_miR_363_4378090,_220939_s_at,0.3050131753,0.484854121,1.77995,2.16234
hsa_miR_758_4395180,_220939_s_at,-0.2209667337,-0.2245956785,1.34873,1.03064
hsa_miR_363_4378090,_220760_x_at,0.2476656642,0.2277473544,1.68348,1.63896
hsa_miR_125a_5p_4395309,_220638_s_at,-0.2019995378,-0.2285769862,1.18637,1.40021
hsa_miR_363_4378090,_220638_s_at,-0.2716678271,-0.2536612362,1.56162,1.53782
hsa_miR_125a_5p_4395309,_220488_s_at,-0.205850113,-0.2533884053,1.49767,1.23019
