"p"	"odds"	"expected"	"counts"	"description"
"GO:0006412"	3.30082154119996e-72	9.96630154639175	24.2183618663981	141	"translation"
"GO:0006413"	1.41861297444378e-65	23.1749077490775	8.35297079556898	84	"translational initiation"
"GO:0022613"	9.94044259484072e-62	13.394619049911	13.5538771399799	100	"ribonucleoprotein complex biogenesis"
"GO:0042254"	1.32007897194565e-60	21.8900143287712	8.03776435045317	79	"ribosome biogenesis"
"GO:0000956"	7.84370882562536e-59	19.546485260771	8.61564283316549	80	"nuclear-transcribed mRNA catabolic process"
"GO:0006402"	2.92204429410714e-56	17.4514846855272	9.14098690835851	80	"mRNA catabolic process"
"GO:0006401"	2.57619813450241e-53	14.2282074892572	10.6644847264183	83	"RNA catabolic process"
"GO:0000184"	5.28839717355022e-50	25.8265110148748	5.67371601208459	61	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"GO:0019080"	1.35250472047968e-46	16.0645161290323	8.03776435045317	68	"viral gene expression"
"GO:0019083"	1.49368492320374e-46	17.1627551020408	7.51242027526015	66	"viral transcription"
"GO:0006415"	2.33239253990943e-46	31.5522238087683	4.51795904665995	53	"translational termination"
"GO:0044033"	1.39626028532704e-44	14.5147563486616	8.51057401812689	68	"multi-organism metabolic process"
"GO:0010467"	7.41807085193548e-43	3.1244549398649	201.6795904666	364	"gene expression"
"GO:0016072"	9.40504549174809e-43	19.7416520210896	5.9889224572004	57	"rRNA metabolic process"
"GO:0072599"	5.60269820281274e-42	21.6574140145569	5.41104397448808	54	"establishment of protein localization to endoplasmic reticulum"
"GO:0006614"	7.5283969148955e-42	22.6091509219212	5.20090634441088	53	"SRP-dependent cotranslational protein targeting to membrane"
"GO:0006364"	7.72245036760298e-42	20.4221326372138	5.67371601208459	55	"rRNA processing"
"GO:0006613"	3.05751700091514e-41	21.6632489819663	5.30597515944948	53	"cotranslational protein targeting to membrane"
"GO:0045047"	6.06195813567877e-41	21.2192541938241	5.35850956696878	53	"protein targeting to ER"
"GO:0006414"	4.44263685311189e-40	19.9897301651228	5.51611278952669	53	"translational elongation"
"GO:0070972"	1.12776305048063e-38	16.6341101980331	6.30412890231621	55	"protein localization to endoplasmic reticulum"
"GO:0006396"	1.53191558645554e-38	5.14909865488541	32.728935884525	121	"RNA processing"
"GO:0016071"	1.81733509775908e-38	5.39619520980898	29.7870090634441	115	"mRNA metabolic process"
"GO:0044260"	9.20361879518077e-36	2.94000992758956	304.436891574354	454	"cellular macromolecule metabolic process"
"GO:0006612"	6.0231798931276e-35	11.5275987916252	8.40550520308829	59	"protein targeting to membrane"
"GO:0043624"	1.03974891311609e-33	11.4404791793695	8.14283316549178	57	"cellular protein complex disassembly"
"GO:0044267"	3.90759048699039e-33	2.74450886803131	170.894427660289	308	"cellular protein metabolic process"
"GO:0034470"	1.8863776583986e-32	8.60487225193108	11.2948976166499	65	"ncRNA processing"
"GO:0019058"	5.31650499357495e-32	7.03899649701216	14.972306143001	74	"viral life cycle"
"GO:0043241"	3.85966201668219e-31	9.58572020357439	9.29859013091641	58	"protein complex disassembly"
"GO:0090150"	2.17367529449691e-30	7.16040170556553	13.7114803625378	69	"establishment of protein localization to membrane"
"GO:0061024"	3.3357808943528e-30	4.20916110832198	36.1436723732796	115	"membrane organization"
"GO:0032984"	5.69573331864975e-30	8.97546301430631	9.71886539107083	58	"macromolecular complex disassembly"
"GO:0016032"	3.98277170898793e-29	4.24664044219387	33.779624034911	109	"viral process"
"GO:0034660"	1.07602936559437e-28	6.27742657607239	15.8128566633098	72	"ncRNA metabolic process"
"GO:0044764"	1.5776195566044e-28	4.16470161565593	34.3049681101041	109	"multi-organism cellular process"
"GO:0043170"	5.37418209438326e-28	2.63037748520598	337.428499496475	467	"macromolecule metabolic process"
"GO:0016482"	1.01374523810581e-27	3.79865145197074	40.7667002349782	119	"cytoplasmic transport"
"GO:0016070"	1.08365668948976e-26	2.47286684273161	168.687982544478	290	"RNA metabolic process"
"GO:0034645"	1.59910855384032e-26	2.44560282495376	180.350621013763	303	"cellular macromolecule biosynthetic process"
"GO:0072657"	2.67067107105152e-26	5.62412401783818	17.1787512588117	72	"protein localization to membrane"
"GO:0044403"	2.89564191659109e-26	3.83864484639678	36.9842228935885	110	"symbiosis, encompassing mutualism through parasitism"
"GO:0044419"	2.89564191659109e-26	3.83864484639678	36.9842228935885	110	"interspecies interaction between organisms"
"GO:0044802"	1.16983091485497e-25	4.21211004667158	29.1565961732125	95	"single-organism membrane organization"
"GO:0009059"	3.85099925510358e-24	2.33454780277831	186.759818731118	304	"macromolecule biosynthetic process"
"GO:1902578"	4.62066552309768e-24	4.8695886070337	20.0681436723733	75	"single-organism localization"
"GO:1902580"	4.62066552309768e-24	4.8695886070337	20.0681436723733	75	"single-organism cellular localization"
"GO:0072594"	3.04630887039291e-23	4.47469327933461	22.6948640483384	79	"establishment of protein localization to organelle"
"GO:0090304"	3.58281914246255e-23	2.28590146750524	192.696206780799	308	"nucleic acid metabolic process"
"GO:0009057"	5.55960737013289e-23	3.18742762938394	49.1722054380665	124	"macromolecule catabolic process"
"GO:0006605"	1.35471253426526e-22	4.21285822021116	24.7962403491104	82	"protein targeting"
"GO:0044085"	1.739208532483e-22	2.59069025513646	91.7776099362202	184	"cellular component biogenesis"
"GO:0019538"	1.92043515794799e-22	2.24502156431045	202.677744209466	317	"protein metabolic process"
"GO:0006139"	2.33957148574335e-22	2.22884846246191	253.741188318228	371	"nucleobase-containing compound metabolic process"
"GO:0044265"	4.23927884597411e-22	3.39137802157877	39.6109432695535	107	"cellular macromolecule catabolic process"
"GO:0015031"	7.575127577874e-22	2.84841915824778	63.3564954682779	143	"protein transport"
"GO:0000289"	8.16118042184243e-22	55.9487603305785	1.47096341054045	21	"nuclear-transcribed mRNA poly(A) tail shortening"
"GO:0045184"	1.0238014567722e-21	2.78117988892567	67.71685129238	149	"establishment of protein localization"
"GO:0071840"	2.71818289667978e-21	2.18253616458404	225.162470627727	338	"cellular component organization or biogenesis"
"GO:0033365"	3.00326982944001e-21	3.73250310366232	29.8920778784827	89	"protein localization to organelle"
"GO:0022411"	4.48198523686144e-21	4.39871640593662	20.8036253776435	72	"cellular component disassembly"
"GO:0006886"	6.65521896398485e-21	3.39317112805246	36.7215508559919	100	"intracellular protein transport"
"GO:0006725"	3.38251401521331e-20	2.13474215742401	261.884021483719	373	"cellular aromatic compound metabolic process"
"GO:0034655"	4.20132009416566e-20	2.72051451811217	64.6698556562605	141	"nucleobase-containing compound catabolic process"
"GO:0006417"	5.02356907801942e-20	5.75390741662519	11.9253105068815	52	"regulation of translation"
"GO:0046483"	9.09864186893334e-20	2.11515740397441	261.201074185968	371	"heterocycle metabolic process"
"GO:0044237"	2.55759357166646e-19	2.39031407875956	412.500167841558	511	"cellular metabolic process"
"GO:0019439"	3.47988022886199e-19	2.63530774345821	66.8763007720712	142	"aromatic compound catabolic process"
"GO:1902582"	5.99611024796421e-19	2.74695469247591	57.4726418261161	128	"single-organism intracellular transport"
"GO:0046700"	6.91060927838316e-19	2.61907216494845	66.666163141994	141	"heterocycle catabolic process"
"GO:0044270"	7.42394112161072e-19	2.61649484536082	66.7186975495133	141	"cellular nitrogen compound catabolic process"
"GO:0046907"	1.44697148848166e-18	2.58441814878905	67.9269889224572	142	"intracellular transport"
"GO:0006446"	2.21303324976528e-18	13.7089292965754	3.36220208123531	27	"regulation of translational initiation"
"GO:0008104"	2.98565804225265e-18	2.41277415034321	84.6854649211145	164	"protein localization"
"GO:0071702"	4.60183871197578e-18	2.3295836951802	95.7702249076871	178	"organic substance transport"
"GO:1901361"	7.99239619434247e-18	2.53150313355967	68.5048674051695	141	"organic cyclic compound catabolic process"
"GO:0044249"	1.24722271957368e-17	2.02163499704417	224.479523329977	326	"cellular biosynthetic process"
"GO:0034613"	1.38507319275669e-17	2.70512096599053	54.1104397448808	120	"cellular protein localization"
"GO:0070727"	2.03106128400661e-17	2.68904295989114	54.3731117824773	120	"cellular macromolecule localization"
"GO:0034641"	2.09327481731822e-17	2.01103230890465	271.497818059752	374	"cellular nitrogen compound metabolic process"
"GO:0010608"	2.79720278091389e-17	3.90210401381096	20.8561597851628	66	"posttranscriptional regulation of gene expression"
"GO:1901360"	3.25481969282283e-17	2.00207864853174	271.130077207116	373	"organic cyclic compound metabolic process"
"GO:1901576"	6.23299094159943e-17	1.98867356406351	229.47029204431	329	"organic substance biosynthetic process"
"GO:0051649"	1.06468775444308e-16	2.23573417861871	99.5001678415576	179	"establishment of localization in cell"
"GO:0033036"	2.38948933574529e-16	2.22895093076053	97.136119503189	175	"macromolecule localization"
"GO:0006112"	4.45906834273899e-16	6.03195246603233	8.51057401812689	39	"energy reserve metabolic process"
"GO:0009058"	5.59856317007153e-16	1.94483850793346	232.51728768043	329	"biosynthetic process"
"GO:0044238"	5.80153500251415e-16	2.17164377492246	415.231957032561	504	"primary metabolic process"
"GO:0000288"	5.84928483932257e-16	13.8531535869042	2.8368580060423	23	"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
"GO:0043933"	6.08164649128038e-16	2.35920072981961	74.2311178247734	144	"macromolecular complex subunit organization"
"GO:0051641"	2.72479382429631e-15	2.10070673036313	113.264182611615	192	"cellular localization"
"GO:0044765"	6.85015651561223e-15	1.99473113964687	142.788519637462	226	"single-organism transport"
"GO:0071704"	4.1705311600774e-14	2.08683671068992	427.577542799597	509	"organic substance metabolic process"
"GO:0031124"	1.18865358095552e-13	8.11055555555556	4.51795904665995	26	"mRNA 3'-end processing"
