"p"	"odds"	"expected"	"counts"	"description"
"hsa03010"	2.13042505351988e-62	28.0070206230803	9.32423889535851	81	"Ribosome - Homo sapiens (human)"
"hsa04261"	8.21718965462895e-42	14.1268556508765	10.452171019797	69	"Adrenergic signaling in cardiomyocytes - Homo sapiens (human)"
"hsa04921"	1.44172679218597e-32	10.3617216117216	10.978539344535	62	"Oxytocin signaling pathway - Homo sapiens (human)"
"hsa04720"	6.80282439020322e-25	17.7307692307692	4.73731492264182	36	"Long-term potentiation - Homo sapiens (human)"
"hsa04022"	9.30798496323371e-25	7.80103352463061	11.4297121943104	55	"cGMP-PKG signaling pathway - Homo sapiens (human)"
"hsa04270"	2.52418808105791e-24	9.65847362514029	8.49708867077026	47	"Vascular smooth muscle contraction - Homo sapiens (human)"
"hsa04911"	5.51825685389684e-24	13.365617433414	5.86524704708035	39	"Insulin secretion - Homo sapiens (human)"
"hsa04728"	8.645388835155e-23	8.60176843510177	9.0986524704708	47	"Dopaminergic synapse - Homo sapiens (human)"
"hsa05031"	2.80701714930425e-21	14.5152744630072	4.73731492264182	33	"Amphetamine addiction - Homo sapiens (human)"
"hsa04114"	2.82520575192968e-20	8.70258370988298	7.82032939610714	41	"Oocyte meiosis - Homo sapiens (human)"
"hsa04024"	5.95302183818434e-20	5.74038110254389	13.9863583430378	55	"cAMP signaling pathway - Homo sapiens (human)"
"hsa04971"	5.9674135002967e-19	11.1474205984946	5.41407419730494	33	"Gastric acid secretion - Homo sapiens (human)"
"hsa03008"	1.33298698798971e-18	11.3709137709138	5.18848777241724	32	"Ribosome biogenesis in eukaryotes - Homo sapiens (human)"
"hsa05414"	8.3381775208277e-18	9.33881578947368	6.16602894693063	34	"Dilated cardiomyopathy - Homo sapiens (human)"
"hsa04725"	2.4545895737158e-16	7.09376636982713	7.97072034603227	37	"Cholinergic synapse - Homo sapiens (human)"
"hsa04713"	3.84391104985484e-16	7.85142281541173	6.84278822159374	34	"Circadian entrainment - Homo sapiens (human)"
"hsa04916"	4.96921750675206e-16	7.44159511100797	7.29396107136916	35	"Melanogenesis - Homo sapiens (human)"
"hsa04912"	7.2799264077364e-15	7.48707482993197	6.61720179670604	32	"GnRH signaling pathway - Homo sapiens (human)"
"hsa04915"	6.30070134339864e-14	6.75514592933948	7.06837464648145	32	"Estrogen signaling pathway - Homo sapiens (human)"
"hsa04750"	1.30021334796076e-12	6.61764339927834	6.4668108467809	29	"Inflammatory mediator regulation of TRP channels - Homo sapiens (human)"
"hsa04020"	2.16278691152046e-12	4.40875912408759	12.3320578938613	41	"Calcium signaling pathway - Homo sapiens (human)"
"hsa04918"	8.74627860585356e-12	7.73691588785047	4.81251039760439	24	"Thyroid hormone synthesis - Homo sapiens (human)"
"hsa04611"	2.10277580007027e-11	4.95366636490824	9.02345699550824	33	"Platelet activation - Homo sapiens (human)"
"hsa04970"	2.64436614416499e-11	6.46361502347418	5.86524704708035	26	"Salivary secretion - Homo sapiens (human)"
"hsa04910"	9.35833147941033e-11	4.48600840945339	10.0009981700216	34	"Insulin signaling pathway - Homo sapiens (human)"
"hsa04152"	1.14872883960395e-09	4.47131884294819	8.79787057062053	30	"AMPK signaling pathway - Homo sapiens (human)"
"hsa05412"	1.28845095449898e-09	6.26914728682171	5.0380968224921	22	"Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)"
"hsa04962"	3.94825509829411e-09	8.31662245800177	3.23340542339045	17	"Vasopressin-regulated water reabsorption - Homo sapiens (human)"
"hsa03020"	7.2058868733033e-09	11.0733447488584	2.25586424887706	14	"RNA polymerase - Homo sapiens (human)"
"hsa05410"	1.38826183323137e-08	5.31513821851689	5.63966062219265	22	"Hypertrophic cardiomyopathy (HCM) - Homo sapiens (human)"
"hsa05214"	1.93325664258823e-08	5.80281986531987	4.81251039760439	20	"Glioma - Homo sapiens (human)"
"hsa04723"	2.41201389333474e-08	4.66694987255735	6.76759274663118	24	"Retrograde endocannabinoid signaling - Homo sapiens (human)"
"hsa05210"	4.67893118280368e-08	5.76393929396239	4.58692397271669	19	"Colorectal cancer - Homo sapiens (human)"
"hsa04724"	5.01411076928542e-08	4.28103044496487	7.51954749625686	25	"Glutamatergic synapse - Homo sapiens (human)"
"hsa04972"	5.66902054004292e-08	4.60318327505828	6.54200632174347	23	"Pancreatic secretion - Homo sapiens (human)"
"hsa04260"	6.09041037004964e-08	5.31539351851852	5.11329229745467	20	"Cardiac muscle contraction - Homo sapiens (human)"
"hsa05205"	8.14587893474882e-08	3.06766940372957	14.5879221427383	37	"Proteoglycans in cancer - Homo sapiens (human)"
"hsa04540"	1.3283841733788e-07	4.53615903975994	6.31641989685576	22	"Gap junction - Homo sapiens (human)"
"hsa04919"	2.08953268349752e-07	3.91057862569258	8.04591582099484	25	"Thyroid hormone signaling pathway - Homo sapiens (human)"
"hsa03013"	2.35039968691992e-07	3.28155056267279	11.504907669273	31	"RNA transport - Homo sapiens (human)"
"hsa03015"	2.46752225290925e-07	4.54205827991663	6.01563799700549	21	"mRNA surveillance pathway - Homo sapiens (human)"
"hsa04510"	3.73825492892635e-07	2.90145723841376	14.813508567626	36	"Focal adhesion - Homo sapiens (human)"
"hsa04010"	4.25524721561079e-07	2.67298053527981	18.122109465979	41	"MAPK signaling pathway - Homo sapiens (human)"
"hsa04914"	1.70507412832444e-06	4.10468936678614	6.16602894693063	20	"Progesterone-mediated oocyte maturation - Homo sapiens (human)"
"hsa04722"	1.96631925274827e-06	3.48619371282923	8.42189319580769	24	"Neurotrophin signaling pathway - Homo sapiens (human)"
"hsa05215"	2.55851089985934e-06	3.97497106481481	6.31641989685576	20	"Prostate cancer - Homo sapiens (human)"
"hsa05169"	4.23452201276921e-06	2.69226005256639	14.3623357178506	33	"Epstein-Barr virus infection - Homo sapiens (human)"
"hsa05110"	4.78690151340028e-06	4.98705287245574	3.98536017301614	15	"Vibrio cholerae infection - Homo sapiens (human)"
"hsa04727"	8.81824787050306e-06	3.93365644366757	5.71485609715522	18	"GABAergic synapse - Homo sapiens (human)"
"hsa04350"	1.07235007415805e-05	3.86628134031086	5.79005157211778	18	"TGF-beta signaling pathway - Homo sapiens (human)"
"hsa05152"	1.08377849627716e-05	2.69247340337388	13.0088171685244	30	"Tuberculosis - Homo sapiens (human)"
"hsa04530"	1.09967426779095e-05	3.09260832625319	9.24904342039594	24	"Tight junction - Homo sapiens (human)"
"hsa05166"	1.24570120791256e-05	2.36132014121145	18.4980868407919	38	"HTLV-I infection - Homo sapiens (human)"
"hsa04310"	1.8712673226485e-05	2.9002554822227	10.1513891199468	25	"Wnt signaling pathway - Homo sapiens (human)"
"hsa00230"	2.16942850936207e-05	2.73932773109244	11.504907669273	27	"Purine metabolism - Homo sapiens (human)"
